v960066,v960067,v960070,v960071,v960073,v960115,v960119,v960272,v960281,v960284,v960292,v960293,v960365,v960385,v960420,v960568,v960571,v960605,v960606,v960610,v960701,v961039,v961300,religion
1.0,1.0,1.0,2.0,1.0,3.0,1631.0,15.0,0.0,85.0,15.0,85.0,6.0,3.0,6.0,2.0,1.0,38.0,5.0,6.0,17.0,15.0,5.0,9.0
2.0,2.0,2.0,2.0,1.0,3.0,1631.0,85.0,85.0,30.0,100.0,15.0,3.0,3.0,1.0,5.0,1.0,24.0,5.0,6.0,6.0,70.0,5.0,9.0
2.0,1.0,4.0,3.0,3.0,3.0,1631.0,85.0,85.0,50.0,60.0,50.0,,5.0,2.0,2.0,1.0,22.0,1.0,3.0,15.0,100.0,5.0,2.0
2.0,1.0,3.0,3.0,2.0,3.0,1631.0,100.0,85.0,50.0,100.0,0.0,4.0,3.0,0.0,2.0,1.0,70.0,2.0,3.0,12.0,85.0,5.0,1.0
1.0,1.0,2.0,2.0,1.0,3.0,101.0,15.0,15.0,85.0,40.0,85.0,6.0,5.0,6.0,4.0,1.0,59.0,1.0,5.0,21.0,50.0,5.0,1.0
2.0,1.0,3.0,3.0,2.0,3.0,129.0,50.0,10.0,30.0,30.0,50.0,6.0,3.0,6.0,2.0,1.0,37.0,3.0,4.0,18.0,60.0,5.0,1.0
1.0,2.0,3.0,2.0,3.0,3.0,448.0,70.0,70.0,,100.0,0.0,,1.0,0.0,3.0,1.0,18.0,5.0,2.0,20.0,85.0,1.0,9.0
2.0,2.0,2.0,2.0,3.0,3.0,448.0,100.0,100.0,50.0,70.0,85.0,4.0,3.0,0.0,1.0,1.0,34.0,1.0,3.0,2.0,100.0,1.0,9.0
2.0,1.0,3.0,3.0,3.0,4.0,75.0,0.0,15.0,60.0,30.0,85.0,6.0,3.0,6.0,2.0,1.0,62.0,1.0,6.0,22.0,15.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,4.0,75.0,60.0,30.0,30.0,40.0,60.0,5.0,3.0,5.0,2.0,1.0,43.0,1.0,6.0,,60.0,5.0,1.0
2.0,1.0,3.0,3.0,2.0,4.0,75.0,30.0,40.0,50.0,30.0,70.0,5.0,5.0,5.0,2.0,1.0,37.0,1.0,4.0,21.0,60.0,5.0,2.0
1.0,1.0,3.0,2.0,3.0,4.0,55.0,30.0,0.0,70.0,15.0,85.0,5.0,1.0,6.0,4.0,2.0,49.0,1.0,4.0,22.0,60.0,5.0,9.0
2.0,1.0,3.0,3.0,3.0,4.0,55.0,15.0,15.0,50.0,40.0,60.0,4.0,5.0,5.0,2.0,1.0,45.0,1.0,3.0,22.0,70.0,5.0,1.0
1.0,1.0,2.0,2.0,2.0,4.0,468.0,85.0,70.0,70.0,70.0,60.0,2.0,1.0,1.0,2.0,2.0,48.0,1.0,4.0,21.0,70.0,1.0,9.0
1.0,1.0,4.0,3.0,3.0,4.0,468.0,30.0,15.0,60.0,15.0,60.0,5.0,1.0,5.0,2.0,2.0,40.0,4.0,4.0,19.0,50.0,5.0,7.0
2.0,1.0,2.0,2.0,2.0,4.0,126.0,70.0,85.0,30.0,70.0,60.0,3.0,3.0,2.0,4.0,2.0,25.0,1.0,6.0,19.0,70.0,5.0,9.0
2.0,1.0,2.0,2.0,2.0,4.0,19.0,85.0,100.0,0.0,85.0,15.0,2.0,1.0,0.0,5.0,1.0,36.0,1.0,6.0,24.0,70.0,5.0,3.0
1.0,1.0,1.0,2.0,1.0,4.0,111.0,85.0,85.0,40.0,70.0,70.0,3.0,3.0,5.0,5.0,1.0,44.0,3.0,5.0,18.0,100.0,5.0,2.0
1.0,,,,,4.0,3485.0,60.0,70.0,15.0,85.0,40.0,4.0,1.0,0.0,2.0,1.0,91.0,2.0,1.0,7.0,,,9.0
1.0,,,,,4.0,3485.0,50.0,0.0,70.0,40.0,60.0,2.0,1.0,5.0,1.0,2.0,33.0,3.0,4.0,20.0,,,2.0
1.0,,4.0,4.0,4.0,4.0,15.0,15.0,10.0,,40.0,15.0,2.0,5.0,1.0,2.0,1.0,24.0,5.0,3.0,19.0,40.0,5.0,9.0
1.0,1.0,2.0,3.0,2.0,4.0,429.0,70.0,70.0,30.0,50.0,50.0,4.0,1.0,1.0,1.0,2.0,53.0,1.0,3.0,20.0,60.0,5.0,9.0
2.0,1.0,2.0,2.0,2.0,4.0,15.0,85.0,85.0,0.0,85.0,0.0,,3.0,0.0,4.0,1.0,54.0,1.0,3.0,23.0,70.0,5.0,9.0
1.0,4.0,4.0,2.0,3.0,4.0,15.0,70.0,60.0,40.0,70.0,,7.0,1.0,,2.0,1.0,41.0,1.0,3.0,20.0,,,1.0
2.0,1.0,3.0,2.0,2.0,4.0,15.0,70.0,60.0,30.0,60.0,70.0,6.0,1.0,4.0,2.0,1.0,37.0,3.0,6.0,10.0,70.0,5.0,1.0
1.0,1.0,2.0,1.0,2.0,4.0,516.0,85.0,90.0,5.0,80.0,40.0,2.0,1.0,1.0,4.0,2.0,48.0,5.0,6.0,,70.0,1.0,9.0
2.0,1.0,3.0,3.0,3.0,4.0,516.0,85.0,85.0,0.0,50.0,70.0,4.0,3.0,4.0,2.0,1.0,34.0,1.0,3.0,20.0,90.0,5.0,1.0
2.0,1.0,2.0,2.0,2.0,4.0,0.0,60.0,0.0,60.0,60.0,40.0,6.0,1.0,1.0,5.0,1.0,36.0,3.0,4.0,14.0,70.0,5.0,1.0
2.0,1.0,4.0,3.0,4.0,4.0,0.0,100.0,100.0,,85.0,85.0,,1.0,2.0,1.0,1.0,35.0,1.0,3.0,19.0,85.0,5.0,2.0
1.0,1.0,4.0,3.0,3.0,4.0,12.0,60.0,50.0,,40.0,50.0,,3.0,4.0,4.0,1.0,29.0,1.0,3.0,20.0,50.0,5.0,2.0
2.0,1.0,2.0,2.0,1.0,4.0,12.0,65.0,85.0,40.0,70.0,65.0,6.0,5.0,5.0,4.0,1.0,42.0,5.0,4.0,6.0,70.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,4.0,12.0,90.0,65.0,60.0,80.0,75.0,4.0,3.0,2.0,4.0,1.0,20.0,1.0,3.0,15.0,55.0,5.0,9.0
2.0,1.0,3.0,3.0,3.0,4.0,12.0,70.0,40.0,30.0,60.0,40.0,3.0,,1.0,2.0,1.0,70.0,2.0,3.0,14.0,40.0,5.0,9.0
2.0,1.0,5.0,2.0,5.0,4.0,12.0,50.0,50.0,40.0,50.0,50.0,2.0,,1.0,5.0,2.0,34.0,5.0,7.0,15.0,100.0,1.0,9.0
2.0,1.0,4.0,3.0,4.0,4.0,12.0,85.0,70.0,0.0,85.0,40.0,4.0,1.0,2.0,1.0,1.0,40.0,1.0,3.0,24.0,60.0,5.0,9.0
2.0,,,,,4.0,12.0,50.0,50.0,50.0,50.0,50.0,,3.0,,3.0,1.0,38.0,5.0,4.0,6.0,,5.0,7.0
1.0,1.0,1.0,1.0,2.0,4.0,44.0,70.0,85.0,70.0,70.0,30.0,6.0,1.0,0.0,5.0,1.0,60.0,1.0,7.0,,60.0,5.0,1.0
2.0,1.0,1.0,1.0,1.0,4.0,44.0,60.0,60.0,30.0,60.0,60.0,5.0,1.0,2.0,4.0,1.0,78.0,2.0,4.0,9.0,,,2.0
2.0,1.0,4.0,2.0,3.0,4.0,44.0,60.0,60.0,30.0,60.0,40.0,,1.0,1.0,4.0,1.0,32.0,1.0,6.0,22.0,60.0,5.0,2.0
2.0,1.0,4.0,3.0,3.0,4.0,25.0,0.0,0.0,70.0,50.0,50.0,2.0,3.0,3.0,1.0,2.0,28.0,1.0,4.0,18.0,50.0,5.0,9.0
1.0,1.0,4.0,1.0,3.0,4.0,25.0,50.0,40.0,60.0,40.0,40.0,5.0,1.0,3.0,1.0,1.0,44.0,1.0,7.0,21.0,50.0,5.0,1.0
2.0,1.0,3.0,3.0,3.0,4.0,51.0,0.0,0.0,,0.0,75.0,,5.0,6.0,5.0,1.0,85.0,3.0,3.0,12.0,70.0,5.0,1.0
2.0,,,,,4.0,294.0,85.0,85.0,60.0,70.0,85.0,,5.0,5.0,2.0,1.0,54.0,1.0,3.0,16.0,70.0,5.0,9.0
1.0,2.0,2.0,2.0,2.0,4.0,724.0,70.0,85.0,0.0,60.0,50.0,5.0,,1.0,4.0,1.0,63.0,1.0,4.0,23.0,,,9.0
2.0,1.0,3.0,2.0,2.0,1.0,0.0,40.0,40.0,0.0,60.0,70.0,5.0,3.0,5.0,4.0,1.0,45.0,1.0,7.0,24.0,60.0,5.0,2.0
1.0,1.0,1.0,1.0,2.0,1.0,80.0,30.0,0.0,40.0,40.0,85.0,5.0,5.0,5.0,3.0,1.0,66.0,1.0,6.0,16.0,85.0,5.0,7.0
2.0,1.0,4.0,2.0,4.0,1.0,80.0,70.0,70.0,30.0,50.0,50.0,,1.0,3.0,2.0,1.0,59.0,1.0,3.0,19.0,,,9.0
2.0,1.0,3.0,2.0,3.0,1.0,80.0,60.0,40.0,15.0,60.0,50.0,3.0,1.0,2.0,2.0,1.0,44.0,1.0,6.0,19.0,60.0,1.0,2.0
1.0,1.0,3.0,2.0,3.0,1.0,80.0,30.0,50.0,50.0,40.0,52.0,6.0,5.0,3.0,4.0,1.0,45.0,1.0,6.0,18.0,50.0,5.0,7.0
1.0,1.0,2.0,2.0,2.0,1.0,0.0,70.0,50.0,30.0,60.0,40.0,6.0,3.0,3.0,2.0,2.0,68.0,1.0,6.0,14.0,50.0,5.0,9.0
2.0,1.0,3.0,1.0,2.0,1.0,0.0,70.0,70.0,40.0,60.0,40.0,3.0,3.0,2.0,4.0,1.0,22.0,5.0,6.0,4.0,70.0,1.0,9.0
1.0,1.0,2.0,2.0,1.0,1.0,0.0,15.0,0.0,60.0,40.0,85.0,6.0,3.0,5.0,2.0,2.0,25.0,5.0,3.0,16.0,50.0,5.0,2.0
1.0,1.0,2.0,2.0,2.0,1.0,65.0,50.0,30.0,70.0,30.0,70.0,,3.0,5.0,4.0,1.0,63.0,1.0,4.0,19.0,60.0,5.0,2.0
1.0,1.0,3.0,3.0,2.0,1.0,65.0,85.0,70.0,0.0,85.0,50.0,,1.0,0.0,2.0,1.0,53.0,1.0,2.0,16.0,70.0,5.0,9.0
1.0,1.0,1.0,1.0,1.0,1.0,65.0,60.0,70.0,50.0,100.0,0.0,,3.0,1.0,2.0,2.0,32.0,1.0,3.0,17.0,50.0,5.0,9.0
2.0,1.0,3.0,2.0,1.0,1.0,0.0,70.0,60.0,30.0,85.0,15.0,4.0,3.0,1.0,2.0,2.0,21.0,5.0,4.0,2.0,100.0,5.0,9.0
2.0,1.0,4.0,3.0,3.0,1.0,0.0,70.0,70.0,30.0,85.0,0.0,,5.0,0.0,2.0,1.0,37.0,4.0,3.0,9.0,50.0,5.0,9.0
1.0,1.0,4.0,4.0,2.0,1.0,0.0,30.0,85.0,,50.0,85.0,4.0,3.0,6.0,4.0,1.0,45.0,1.0,3.0,3.0,85.0,5.0,1.0
2.0,1.0,2.0,1.0,2.0,1.0,0.0,15.0,0.0,70.0,40.0,70.0,4.0,3.0,4.0,5.0,1.0,33.0,1.0,5.0,24.0,70.0,5.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,70.0,15.0,85.0,6.0,1.0,6.0,5.0,1.0,52.0,1.0,6.0,24.0,15.0,5.0,1.0
2.0,1.0,4.0,3.0,3.0,1.0,0.0,40.0,0.0,0.0,40.0,70.0,,3.0,1.0,1.0,1.0,69.0,1.0,3.0,14.0,70.0,5.0,2.0
2.0,1.0,4.0,3.0,3.0,1.0,0.0,70.0,60.0,40.0,50.0,50.0,2.0,3.0,3.0,1.0,1.0,42.0,3.0,3.0,10.0,70.0,5.0,9.0
2.0,2.0,4.0,4.0,3.0,1.0,328.0,100.0,100.0,70.0,85.0,80.0,,5.0,2.0,5.0,1.0,65.0,2.0,1.0,3.0,85.0,1.0,1.0
2.0,2.0,1.0,1.0,1.0,1.0,328.0,70.0,86.0,40.0,100.0,60.0,3.0,3.0,0.0,3.0,1.0,62.0,2.0,3.0,12.0,50.0,5.0,1.0
2.0,2.0,2.0,2.0,1.0,1.0,328.0,70.0,60.0,0.0,50.0,50.0,3.0,3.0,1.0,4.0,2.0,51.0,3.0,4.0,9.0,,,1.0
2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,60.0,15.0,70.0,4.0,3.0,5.0,2.0,1.0,70.0,2.0,3.0,,60.0,5.0,9.0
1.0,2.0,1.0,2.0,1.0,1.0,0.0,40.0,15.0,30.0,40.0,70.0,4.0,3.0,5.0,1.0,1.0,37.0,5.0,5.0,12.0,70.0,5.0,1.0
2.0,1.0,3.0,2.0,4.0,1.0,12.0,0.0,0.0,15.0,30.0,40.0,,3.0,3.0,2.0,1.0,74.0,2.0,2.0,,,,1.0
1.0,1.0,1.0,2.0,2.0,1.0,12.0,50.0,30.0,50.0,40.0,60.0,4.0,5.0,4.0,2.0,1.0,54.0,1.0,4.0,,70.0,5.0,1.0
2.0,1.0,3.0,3.0,2.0,1.0,12.0,70.0,60.0,,70.0,70.0,3.0,3.0,3.0,2.0,1.0,32.0,1.0,3.0,18.0,60.0,5.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,12.0,40.0,50.0,85.0,50.0,50.0,4.0,5.0,5.0,5.0,1.0,63.0,1.0,7.0,21.0,60.0,5.0,2.0
2.0,1.0,3.0,3.0,3.0,1.0,0.0,70.0,50.0,0.0,50.0,0.0,4.0,1.0,3.0,4.0,1.0,73.0,2.0,3.0,5.0,,,2.0
2.0,1.0,4.0,2.0,4.0,1.0,0.0,60.0,50.0,0.0,30.0,30.0,,3.0,2.0,1.0,1.0,85.0,2.0,2.0,6.0,50.0,5.0,1.0
1.0,4.0,2.0,1.0,1.0,1.0,0.0,70.0,50.0,30.0,50.0,80.0,3.0,3.0,4.0,2.0,1.0,52.0,1.0,6.0,21.0,60.0,5.0,7.0
2.0,1.0,1.0,2.0,1.0,2.0,63.0,0.0,0.0,40.0,0.0,70.0,6.0,3.0,6.0,2.0,1.0,30.0,5.0,6.0,12.0,70.0,5.0,2.0
2.0,1.0,3.0,2.0,3.0,2.0,63.0,30.0,15.0,30.0,30.0,70.0,6.0,3.0,4.0,1.0,1.0,53.0,3.0,5.0,14.0,15.0,5.0,1.0
2.0,1.0,5.0,3.0,4.0,2.0,63.0,70.0,70.0,40.0,40.0,50.0,3.0,5.0,,1.0,1.0,19.0,5.0,3.0,,100.0,5.0,2.0
2.0,1.0,4.0,3.0,3.0,2.0,20.0,60.0,50.0,60.0,60.0,85.0,,5.0,5.0,4.0,1.0,33.0,1.0,3.0,21.0,50.0,5.0,2.0
